,مصارفات روزانه دفتر ,,,,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری,مبلغ افغانی,تفصیلات ,تاریخ,شماره,,,,
"$58,937.1",$61.2,65.39,,"AFN 4,000",پرداخت رشوه برای سهلوان کارمند ریاست تذکره الکترونیکی بابت مقروضیت های بل برق دوره جمهوریت تعمیر چهلستون,3-Feb-26,332,,,,
"$58,949.8",$12.7,65.39,,AFN 830,خریداری گاز مایع به بخاری و آشپزخانه دفتر  ,3-Feb-26,333,,,,
"$58,952.3",$2.4,65.4,,AFN 160,"پرداخت برای چاپ 16 قطعه عکس های حاجی جاوید الله, حاجی صدیق الله , حاجی صبغت الله و حاجی رفیع الله ",3-Feb-26,334,,,,
"$58,953.6",$1.4,64.7,,AFN 90,خریداری ماست و نعنا به دفتر,4-Feb-26,335,,,,
"$58,956.0",$2.3,64.7,,AFN 150,خریداری گلپی به دفتر,4-Feb-26,336,,,,
"$58,988.1",$32.1,64.7,,"AFN 2,080","خریداری دستمال کاغذی, کاغذ تشناب, مایع ظرف شوی , مکی رول, صافی و غیره به دفتر",4-Feb-26,337,,,,
"$58,991.5",$3.4,64.7,,AFN 220,"خریداری کریم دندان, خلال دندان و دستمال کاغذی به دفتر",4-Feb-26,338,,,,
"$59,007.0",$15.5,64.7,,"AFN 1,000",خریداری کارت مبایل توسط مطیع الله به هدایت حاجی دفیع ,4-Feb-26,339,,,,
"$59,011.3",$4.3,64.7,,AFN 280,خریداری گاز و آب به دفتر,4-Feb-26,340,,,,
"$59,027.1",$15.8,64.7,,"AFN 1,020",خریداری سینه مرغ به دفتر,4-Feb-26,341,,,,
"$59,029.2",$2.2,64.7,,AFN 140,خریداری چیلی ساس به دفتر,4-Feb-26,342,,,,
"$59,031.1",$1.9,64.7,,AFN 120,خریداری تخم مرغ به دفتر,4-Feb-26,343,,,,
"$59,035.1",$4.0,64.7,,AFN 260,خریداری قهوه به دفتر,4-Feb-26,344,,,,
"$59,037.4",$2.3,64.7,,AFN 150,پرداخت برای جمع آوری کثافت دفتر بابت ماه دلو 1404,4-Feb-26,345,,,,
"$59,041.1",$3.7,64.7,,AFN 240,خریداری گاز به دفتر,4-Feb-26,346,,,,
"$59,048.3",$7.2,64.7,,AFN 465,"خریداری آش , زردک, مرچ دلمه, کرم و نوش پیاز به دفتر",4-Feb-26,347,,,,
"$59,052.3",$3.9,64.7,,AFN 255,"خریداری نخود , رومی و مرچ به دفتر",4-Feb-26,348,,,,
"$59,063.1",$10.8,64.7,,AFN 700,خریداری گوشت مرغ به دفتر     ,4-Feb-26,349,,,,
"$59,090.7",$27.7,64.7,,"AFN 1,790",خریداری گاز و کرایی کراچی به دفتر,4-Feb-26,350,,,,
"$59,092.3",$1.5,64.7,,AFN 100,خریداری لابرتیب به دفتر,4-Feb-26,351,,,,
"$59,097.7",$5.4,64.7,,AFN 350,خریداری یک سیر بوره به دفتر,4-Feb-26,352,,,,
"$59,105.4",$7.7,64.7,,AFN 500,خریداری یک درجن سنگی  گیلاس به دفتر,4-Feb-26,353,,,,
"$59,114.1",$8.7,64.7,,AFN 560,خریداری سرفرشی و چبلک به دفتر,4-Feb-26,354,,,,
"$59,117.9",$3.9,64.7,,AFN 250,خریداری تشت لباس شویی به دفتر,4-Feb-26,355,,,,
"$59,124.1",$6.2,64.7,,AFN 400,خریداری چای سبز به دفتر,4-Feb-26,356,,,,
"$59,142.1",$17.9,64.7,,"AFN 1,160",خریداری پلی  و گر همراه با کرایی راه و کارت موبایل به دفتر,4-Feb-26,357,,,,
"$59,147.9",$5.9,64.7,,AFN 380,خریداری گوشت مرغ به دفتر     ,4-Feb-26,358,,,,
"$59,159.5",$11.6,64.7,,AFN 750,"خریداری روغن , رومی و مرچ به دفتر ",4-Feb-26,359,,,,
"$59,160.8",$1.3,64.7,,AFN 85,خریداری سیر و زنجفیل به دفتر,4-Feb-26,360,,,,
"$59,771.6",$610.8,64.7,,"AFN 39,520",پرداخت کرایی 33 متر جایداد دولتی باغ قاضی بابت ماه دلو 1404,4-Feb-26,361,,,,
"$59,788.6",$17.0,64.85,,"AFN 1,100",خریداری ترموستات و آب گرمی بایلر به دفتر,5-Feb-26,362,,,,
"$59,797.7",$9.1,64.85,,AFN 590,خریداری پیتزا  لارج به خانه,5-Feb-26,363,,,,
"$59,807.7",$10.0,64.85,,AFN 650,خریداری ماهی بابت حاجی صاحب کلان,5-Feb-26,364,,,,
"$59,884.2",$76.5,65.4,,"AFN 5,000",پرداخت حاجی جاوید الله بخاطری پرداخت برای کاکا اسد آشپز بطور ذکات,5-Feb-26,365,,,,
"$59,885.0",$0.8,64.85,,AFN 50,خریداری تخم مرغ و رومی به دفتر,8-Feb-26,366,,,,
"$59,909.0",$24.1,64.85,,"AFN 1,560",خریداری گاز مایع و زنجفیل به دفتر,8-Feb-26,367,,,,
"$59,940.5",$31.5,64.85,,"AFN 2,040",خریداری سینه مرغ به دفتر,8-Feb-26,368,,,,
"$59,942.2",$1.7,64.85,,AFN 110,خریداری تخم مرغ و مرچ به دفتر,8-Feb-26,369,,,,
"$59,953.7",$11.6,64.85,,AFN 750,خریداری روغن و مایع ظرف شویی به دفتر,8-Feb-26,370,,,,
"$59,964.5",$10.8,64.85,,AFN 700,خریداری قیماق به دفتر,9-Feb-26,371,,,,
"$59,970.7",$6.2,64.85,,AFN 400,خریداری کریم رول به دفتر ,9-Feb-26,372,,,,
"$59,976.9",$6.2,64.85,,AFN 400,خریداری کریم رول به دفتر ,9-Feb-26,373,,,,
"$59,978.1",$1.2,64.85,,AFN 81,خریداری مسکه به دفتر,9-Feb-26,374,,,,
"$59,983.4",$5.2,64.85,,AFN 340,خریداری گاز و ماست به دفتر,9-Feb-26,375,,,,
"$59,984.4",$1.1,64.85,,AFN 70,خریداری مسکه به دفتر,9-Feb-26,,,,,
"$59,989.2",$4.8,64.85,,AFN 310,"خریداری مواد خوراکه از قبیل دال نخود, قیماق و گشنیز به دفتر",9-Feb-26,376,,,,
"$59,994.5",$5.2,64.85,,AFN 340,"خریداری نتفلون, نیچه بایلر, نوار به دفتر",10-Feb-26,377,,,,
"$59,996.9",$2.5,64.85,,AFN 160,"خریداری رومی , پیاز و گشنیز به دفتر",10-Feb-26,378,,,,
"$60,003.9",$6.9,64.85,,AFN 450,"خریداری دلمه, کرم, سویا ساس, رول و مایع به دفتر",10-Feb-26,379,,,,
"$60,014.3",$10.5,64.85,,AFN 680,خریداری سینه مرغ به دفتر,10-Feb-26,380,,,,
"$60,015.7",$1.4,64.85,,AFN 90,خریداری قیماق به دفتر,10-Feb-26,381,,,,
"$60,028.4",$12.6,64.85,,AFN 820,خریداری سینه مرغ به دفتر,10-Feb-26,382,,,,
"$60,031.8",$3.5,64.85,,AFN 225,"خریداری مواد از قبیل کرم , نوش پیاز, انرژی و آش به دفتر",10-Feb-26,383,,,,
"$60,032.6",$0.8,64.85,,AFN 50,خریداری کاست به دفتر ,10-Feb-26,384,,,,
"$60,051.1",$18.5,64.85,,"AFN 1,200",خریداری جنج آور اتومات به خانه کارته سه  ,10-Feb-26,385,,,,
"$62,051.1","$2,000.0",63,"$2,000.00",,پرداخت برای وکیل قیومی به هدایت حاجی رفیع الله,10-Feb-26,386,,,,
"$62,136.7",$85.6,64.85,,"AFN 5,550",خریداری واتر پمپ زیر  بایلر و نیچه به دفتر,11-Feb-26,387,,,,
"$62,138.3",$1.6,64.85,,AFN 105,"خریداری رومی, پیاز , زردک و شلغم به دفتر",11-Feb-26,,,,,
"$62,184.6",$46.3,64.85,,"AFN 3,000",پرداخت برای نوید الله و لد عصمت الله بابت دو هفته اول ماه فیبروری ,12-Feb-26,388,,,,
"$62,187.7",$3.1,65.2,,AFN 200,خریداری  جوس به مهمانان دفتر,12-Feb-26,389,,,,
"$62,233.9",$46.3,64.85,,"AFN 3,000",پرداخت برای انیل ولد عصمت الله بابت دو هفته اول ماه فیبروری,12-Feb-26,390,,,,
"$62,238.9",$5.0,65.2,,AFN 325,خریداری گاز و ناخن گیر به دفتر,12-Feb-26,391,,,,
"$62,251.8",$12.9,65.2,,AFN 840,خریداری گاز به دفتر,12-Feb-26,392,,,,
"$62,253.6",$1.8,65.2,,AFN 120,خریداری دک 16x16 به دفتر,12-Feb-26,393,,,,
"$62,259.8",$6.1,65.2,,AFN 400,"مصارفات بیرونی رحیم از  قبیل کرایه رفتن به کوته سنگی, دفتر نو  آباد  دهمزنگ و محکمه و اجر  عریضه نویس همراه با کاپی اسناد مومند ",12-Feb-26,394,,,,
"$62,358.1",$98.3,65.39,,"AFN 6,430","پرداخت برای عبدلرحیم از قبیل رفتن به کوته سنگی , صدور مجاز, شهر نو,  پرداخت برای نان چاشت , کاپی اسناد و غیره ",12-Feb-26,395,,,,
"$62,359.8",$1.7,63.8,,AFN 110,خریداری رومی و پیاز به دفتر,14-Feb-26,396,,,,
"$62,375.5",$15.7,63.8,,"AFN 1,000",خریداری گوشت به دفتر,14-Feb-26,397,,,,
"$62,377.4",$1.9,63.8,,AFN 120,خریداری تخم مرغ به دفتر,14-Feb-26,398,,,,
"$62,387.6",$10.2,63.8,,AFN 650,خریداری ماهی به دفتر,14-Feb-26,399,,,,
"$62,391.0",$3.4,63.9,,AFN 220,خریداری گاز به دفتر,15-Feb-26,400,,,,
"$62,396.0",$5.0,63.9,,AFN 320,خریداری کیک به مهمانان دفتر,15-Feb-26,401,,,,
"$62,399.1",$3.1,63.9,,AFN 200,خریداری کباب به مهمان های دفتر,15-Feb-26,402,,,,
"$62,400.2",$1.1,63.9,,AFN 70,خریداری دستمال کاغذی به دفتر,15-Feb-26,403,,,,
"$62,402.9",$2.7,63.9,,AFN 170,خریداری برنج به دفتر,15-Feb-26,404,,,,
"$62,403.7",$0.8,63.9,,AFN 50,خریداری ذغال به دفتر,15-Feb-26,405,,,,
"$62,405.2",$1.6,63.9,,AFN 100,خریداری جوس به دفتر,15-Feb-26,406,,,,
"$62,409.6",$4.4,63.8,,AFN 280,"خریداری مواد خوراکه از قبیل کدو, رومی و پیاز به دفتر",15-Feb-26,407,,,,
"$62,412.2",$2.6,65.2,,AFN 170,خریداری دک 40x40 و کرایه موتر به دفتر,15-Feb-26,408,,,,
"$62,419.8",$7.6,63.07,,AFN 480,"خریداری مایع ظرف شویی, صافی و مایح شیشه پاکن به دفتر",16-Feb-26,409,,,,
"$62,919.8",$500.0,63,,"AFN 31,500",پرداخت فعلی از مجموع پول باقیمانده برای وکیل تعمیر للندر 2 وکیل پرویز و پول باقیمانده حفر چاه عمیق و فیس مرکز گرمی واحد های نمبر 1 و نمبر 24 حاجی خلیل الله و پسرش بابت سال 1403 و سال 1404,16-Feb-26,410,,,,
"$62,920.7",$0.9,62.61,,AFN 55,خریداری ماست به دفتر  ,16-Feb-26,411,,,,
"$62,925.9",$5.2,62.61,,AFN 325,"خریداری رومی, پیاز و پالک به دفتر  ",16-Feb-26,412,,,,
"$62,928.5",$2.6,62.61,,AFN 160,"خریداری مواد خوراکه از قبیل رومی, زردک, مرچ و پیاز به دفتر  ",16-Feb-26,413,,,,
"$62,938.2",$9.7,62.61,,AFN 610,"پرداخت برای عبدالرحیم غفوری بابت گرفتن عکس برای 2 نفر حاجی, کرایی راه الی دفتر, کارته چهار, پوهنتون کابل, تانگ تیل, صدور مجوز, پرنت نقشه مهندسی , رفتن به کوته سنگی و نان",16-Feb-26,414,,,,
"$62,941.4",$3.2,62.61,,AFN 200,خریداری ساکت ایرانی و پلک به دفتر,16-Feb-26,415,,,,
"$63,117.5",$176.1,62.61,,"AFN 11,024",پرداخت بل برق خانه,16-Feb-26,416,,,,
"$63,125.8",$8.3,62.61,,AFN 520,خریداری میخک و زنجفیل  به دفتر,16-Feb-26,417,,,,
"$63,134.4",$8.6,62.61,,AFN 540,"خریداری باطله دانی, کراه راه, پرداخت برای کراچی, پرداخت برای رفتن به چوک, ریاست برشنا و کاپی فورم   به دفتر",16-Feb-26,418,,,,
"$63,171.2",$36.7,62.61,,"AFN 2,300","خریداری رول, دستکش, دست  مال کاغذی, اسپری, مایع ظرف شوی, سیمک ظرف, مایح دست شوی و شیشه پاکن به دفتر",16-Feb-26,419,,,,
"$63,185.0",$13.9,62.61,,AFN 870,خریداری پلی و گر  به دفتر,16-Feb-26,420,,,,
"$63,206.8",$21.7,62.61,,"AFN 1,360",خریداری چای سبز .هیل  به دفتر,16-Feb-26,421,,,,
"$63,244.3",$37.5,62.61,,"AFN 2,350","خریداری 2 درجن کارد, 1 دانه کارد کلان, کاسه و جک  به دفتر",16-Feb-26,422,,,,
"$63,249.1",$4.8,62.61,,AFN 300,خریداری چایبر سفید به دفتر,16-Feb-26,423,,,,
"$63,254.8",$5.7,62.61,,AFN 360,خریداری خریطه به دفتر,16-Feb-26,424,,,,
"$63,262.8",$8.0,62.61,,AFN 500,خریداری جاروی برقی به دفتر,16-Feb-26,425,,,,
"$63,272.2",$9.3,62.61,,AFN 585,پرداخت بل برق خانه,16-Feb-26,426,,,,
"$63,272.9",$0.7,62.9,,AFN 45,خریداری تخم مرغ به دفتر,18-Feb-26,427,,,,
"$63,283.2",$10.3,62.9,,AFN 650,خریداری ماهی به دفتر,18-Feb-26,428,,,,
"$63,283.9",$0.7,62.9,,AFN 45,خریداری تخم به دفتر,18-Feb-26,429,,,,
"$63,286.0",$2.1,62.9,,AFN 130,خریداری گوشت ساسچ گوساله به دفتر,18-Feb-26,,,,,
"$63,287.1",$1.1,63.07,,AFN 70,خریداری آرد ترمیده  به دفتر,19-Feb-26,430,,,,
"$63,287.9",$0.8,63.07,,AFN 50,خریداری سودا به دفتر,19-Feb-26,431,,,,
"$63,292.3",$4.4,63.07,,AFN 275,"خریداری آرد, پیاز, گشنیز, مرچ و غیره  به دفتر",19-Feb-26,432,,,,
"$63,294.6",$2.4,63.07,,AFN 150,خریداری دال به دفتر,19-Feb-26,433,,,,
"$63,299.1",$4.4,63.07,,AFN 280,"خریداری آرد نخود, تخم مرغ و مرچ تازه به دفتر",19-Feb-26,434,,,,
"$63,314.9",$15.9,63.07,,"AFN 1,000",خریداری گوشت سرخی به دفتر,19-Feb-26,435,,,,
"$63,318.1",$3.2,63.07,,AFN 200,خریداری ساکت و دبل به دفتر,19-Feb-26,436,,,,
"$63,357.7",$39.6,63.07,,"AFN 2,500",پرداخت برای انترنت خانه,19-Feb-26,437,,,,
"$63,362.2",$4.4,63.07,,AFN 280,"خریداری گشنیز, نعنا, نوش پیاز و گلپی به دفتر",19-Feb-26,438,,,,
"$63,376.5",$14.3,63.07,,AFN 900,خریداری گوشت به دفتر,19-Feb-26,439,,,,
"$63,377.3",$0.8,63.07,,AFN 50,خریداری چکه به دفتر,19-Feb-26,440,,,,
"$63,384.2",$7.0,63.07,,AFN 440,خریداری گاز به دفتر,19-Feb-26,441,,,,
"$63,388.5",$4.3,65.39,,AFN 280,"پرداخت برای عبدالکریم غفوری بابت رفتن به کوته سنگی, صدور مجوز, جاده ریاست برق, شهر و آمدن به دفتر , پرداخت برای رفتن به صدور مجوز, کوته سنگی, دفتر و کاته سه و پرداخت برای رفتن به ایستادگاه دواخانه بخاطری نقشه لابراتوار جواب مکتوب ",21-Feb-26,443,,,,
"$63,736.9",$348.4,63.07,,"AFN 21,974","پرداخت برای خیاطی لباس بابت لباس های حاجی جاوید, حاجی صبغت, حاجی خسرو, ارش و اطفال",21-Feb-26,444,,,,
"$64,736.9","$1,000.0",66.2,"$1,000.00",AFN 0,اچر احوله از امریکا توسط حاجی رفیق الله للندر برای حسن وردک دارنده نمبر تذکره 1400.0107.43362 در کابل,21-Feb-26,445,,,,
"$65,736.9","$1,000.0",63,"$1,000.00",AFN 0,پرداخت برای بی بی حاجی همسایه تعمیر للندر 5 به هدایت حاجی رفیع الله ( پرداخت شده پول وکیل رحمانی),21-Feb-26,446,,,,
"$65,745.2",$8.2,63.07,,AFN 520,خریداری پرس غذا و پرداخت برای کرایی آن مربوط دفتر,22-Feb-26,447,,,,
"$65,753.1",$7.9,63.07,,AFN 500,پرداخت کرایی راه انجنیر سلیم از دفتر الی ریش خور,22-Feb-26,448,,,,
"$65,757.3",$4.2,63.07,,AFN 264,"خریداری تخم, گشنیز و کچالو به دفتر",22-Feb-26,449,,,,
"$65,770.8",$13.5,63.07,,AFN 850,"پرداخت برای مصارفات بیرونی عبدالرحیم از قبیل رفتن به کوته سنگی , چهاراهی شهر, دفتر و غیره  همراه با پرداخت بخاطری احکام",22-Feb-26,450,,,,
"$65,794.5",$23.8,63.07,,"AFN 1,500",پرداخت برای انیل ولد عصمت الله بابت هفته سوم ماه فیبروری ,23-Feb-26,451,,,,
"$65,818.3",$23.8,63.07,,"AFN 1,500",پرداخت برای نوید الله ولد عصمت الله بابت هفته سوم ماه فیبروری ,23-Feb-26,452,,,,
"$65,819.3",$1.0,63,,AFN 60,خریداری نمک به دفتر,23-Feb-26,453,,,,
"$65,843.2",$24.0,63,,"AFN 1,510","خریداری چنجور A32,A63, A40 به دفتر",23-Feb-26,454,,,,
"$65,845.1",$1.9,63,,AFN 120,خریداری مصاله پکوره به دفتر,23-Feb-26,455,,,,
"$65,849.4",$4.3,63,,AFN 270,خریداری آرد نخود پاکتی به دفتر,23-Feb-26,456,,,,
"$65,850.9",$1.4,63,,AFN 90,خریداری گروپ و ولدر به دفتر,23-Feb-26,457,,,,
"$65,853.7",$2.9,63,,AFN 180,خریداری شییت به تشناب دفتر,23-Feb-26,458,,,,
"$65,854.7",$1.0,63,,AFN 60,خریداری مایع سفید کننده به دفتر,23-Feb-26,459,,,,
"$65,865.4",$10.7,63,,AFN 674,"خریداری مواد خوراکی از قبیل روغن , گشنیز, تخم و رنگ زرد به دفتر",23-Feb-26,460,,,,
"$69,866.3","$4,001.0",63,,"AFN 252,060",پرداخت تعرفه موتر های خریداری شده از امریکا توسط حاجی ثنا الله,23-Feb-26,461,,,,
"$69,886.6",$20.3,63,,"AFN 1,280","خریداری مسلم شاور , شاور تفلون,  چوچه وال و غیره به دفتر",23-Feb-26,462,,,,
"$69,895.4",$8.7,63,,AFN 550,خریداری چنجور انومات به تشناب دفتر,23-Feb-26,463,,,,
"$69,902.8",$7.4,63.57,,AFN 470,"پرداخت برای عبدالرحیم از قبیل رفتن به کوته سنگی ع صدور  , شهر  و غیره  همراه کارت مبایل , کاپی اسناد, رفتن به وزارت داخله و دفتر همراه با عکسش بابت معرفی نامه ",24-Feb-26,464,,,,
"$70,972.0","$1,069.2",63.3,,"AFN 67,680","خریداری جانماز, قرآنکریم و سامان تتفین به خانه توسط حاجی احسان الله سهاک  و  خریداری برنج سیله , روغن , روب, مایع ظرفشویی , نمک,چای سبز, کشمش, خرما, پیاز, کچالو و خلال زردک روز جنازه توسط حاجی احسان الله سهاک ",24-Feb-26,465,,,,
"$71,025.4",$53.5,63.57,,"AFN 3,400","پرداخت برای ترمیم شیشه , گلاس و ریبن موبایل iphone pro 14 پسر حاجی صاحب عاشق الله و خریداری سه ساکته به دفتر",24-Feb-26,466,,,,
"$71,031.6",$6.1,63.53,,AFN 390,خریداری رنج به گدام به تعداد 5 عدد ,25-Feb-26,467,,,,
"$71,036.9",$5.4,63.53,,AFN 340,"پرداخت برای عکس سمیر , پرنت اسناد و تعرفه بانکی توسط عبدالرحیم ",25-Feb-26,468,,,,
"$71,047.5",$10.5,63.53,,AFN 670,"خریداری تایر موتر سایکل , تیوپ موتر سایکل و پیپ تیل به گدام ",25-Feb-26,469,,,,
"$71,191.0",$143.6,63.53,,"AFN 9,121","پرداخت تعرفه موتر فرونر توسط حاجی  عاشق الله, پرداخت کمیشن بانکی تعرفه موتر فرونر",25-Feb-26,470,,,,
"$71,309.1",$118.1,63.53,,"AFN 7,500",پرداخت برای ترمیم یخچال خانه توسط سمیر للندر ,25-Feb-26,471,,,,
"$71,427.2",$118.1,63.53,,"AFN 7,500","پرداخت برای ترمیم ماشین کالا شویی, یخچال و یخچال خورد از خانه",25-Feb-26,472,,,,
"$71,431.7",$4.6,63.21,,AFN 290,"خریداری مواد خوراکی از قبیل کچالو , کرم, گشنیز, مرچ و تخم به دفتر",26-Feb-26,473,,,,
"$71,432.7",$0.9,63.21,,AFN 60,خریداری قیماق به دفتر,26-Feb-26,474,,,,
"$71,472.2",$39.6,63.21,,"AFN 2,500",برداشت عرش الله از دفتر,26-Feb-26,475,,,,
"$71,474.8",$2.5,63.21,,AFN 160,خریداری قیماق به دفتر,26-Feb-26,476,,,,
"$71,633.0",$158.2,63.21,,"AFN 10,000",پرداخت برای عبدالکریم ولد محمد زاهر بابت ماه دلو 1404 ,26-Feb-26,477,,,,
"$71,645.2",$12.2,63.21,,AFN 770,خریداری گاز به  دفتر,26-Feb-26,478,,,,
"$72,151.4",$506.2,63.21,,"AFN 32,000","پرداخت برای مسجد سلجوقی گذرگاه, خریداری گوشت به خانه و دفتر و کاریگران بخاطری افطار , برداشت شخصی حاجی صبغت از دفتر",26-Feb-26,479,,,,
"$72,175.1",$23.7,63.21,,"AFN 1,500",پرداخت برای نوید الله ولد عصمت الله بابت هفته چهارم ماه فیبروری,28-Feb-26,480,,,,
"$72,248.9",$73.8,63.21,,"AFN 4,662",پرداخت برای خبازی عصر بابت خریداری نان خشک به ختم قرآن کریم خانه,28-Feb-26,481,,,,
"$72,272.6",$23.7,63.21,,"AFN 1,500",پرداخت برای انیل ولد عصمت الله بابت هفته چهارم ماه فیبروری ,28-Feb-26,482,,,,
"$72,275.6",$3.0,63.21,,AFN 190,خریداری آرد نخود و تخم مرغ به دفتر,28-Feb-26,483,,,,
"$72,289.4",$13.8,63.21,,AFN 870,خریداری کچالو و گوشت مرغ به دفتر,1-Mar-26,484,,,,
"$72,300.7",$11.3,63.21,,AFN 715,خریداری گروپ آلوژن به دفتر,1-Mar-26,485,,,,
"$72,307.0",$6.3,63.21,,AFN 400,"خریداری رومی, مرچ, برنج و تخم به دفتر",1-Mar-26,486,,,,
"$72,312.6",$5.5,63.21,,AFN 350,خریداری گوشت مرغ به دفتر,1-Mar-26,487,,,,
"$72,322.4",$9.8,63.21,,AFN 620,خریداری قیماق و مربا به دفتر,1-Mar-26,488,,,,
"$72,336.0",$13.6,63.21,,AFN 860,"خریداری تخم , روغن, مصاله پکوره, نوش پیاز به دفتر",1-Mar-26,489,,,,
"$72,337.9",$1.9,63.21,,AFN 120,خریداری گازکیت و اشاره به موتر سایکل مربوط دفتر,1-Mar-26,490,,,,
"$72,352.9",$15.0,63.21,,AFN 950,خریداری چنجاور به دفتر کارته سه ,1-Mar-26,491,,,,
"$72,361.5",$8.5,63.21,,AFN 540,"خریداری باروقلی, سمارق و گندنه به دفتر",1-Mar-26,492,,,,
"$72,370.9",$9.5,63.21,,AFN 600,"پرداخت برای مصارف بیرونی رحیم از قبیل رفتن به سینمای پامیر, باغ قاضی, وزارت داخله, چهار راه شهید و دفتر",1-Mar-26,493,,,,
"$72,391.5",$20.6,63.21,,"AFN 1,300","خریداری مبلایل , گازکیت, شریش, تیل دیزل و غیره به جنراتور  گدام",1-Mar-26,494,,,,
"$72,439.7",$48.2,66.65,,"AFN 3,210","خریداری نان برگر کلان, پنیر ورقی پگاه, مصاله, خمیر مایه,خیار, ساس, تن یمارق, زیتون سیاه, سینه مرغ, ساسچ گوساله و آرد ترمیده به مهمانی  دفتر",2-Mar-26,495,,,,
"$72,446.6",$6.9,66.65,,AFN 460,خریداری انرژی به دفتر,2-Mar-26,496,,,,
"$72,447.8",$1.2,66.65,,AFN 80,پرداخت مصارف بیرونی رحیم از قبیل رفتن به بانک بخاطری تعرفه خلیل للندر 5 و کرای پس آمد,2-Mar-26,497,,,,
"$72,462.2",$14.4,66.65,,AFN 960,خریداری پیوند و پتنوس به دفتر,2-Mar-26,498,,,,
"$72,468.3",$6.2,66.65,,AFN 410,"خریداری مواد خوراکی از قبیل کرم , لیمو , بادرنگ , نخود, جواری, تخم مرغ, گشنیز و سرکه به دفتر",2-Mar-26,499,,,,
"$72,474.2",$5.9,66.65,,AFN 390,"خریداری شیر قوت, مرچ دولمه, کچپ, بوره , تخم مرغ و ماینوز به دفتر",2-Mar-26,500,,,,
"$72,475.5",$1.4,66.65,,AFN 90,خریداری تخم مرغ و کانفلو به دفتر,2-Mar-26,501,,,,
"$73,475.5","$1,000.0",64.85,"$1,000.00",,پرداخت برای بشیر احمد جویا از درک فروش آپارتمان نمبر 28 تعمیر للندر 2 بدست فواد جویا ,3-Mar-26,502,,,,
"$73,479.5",$4.0,64.85,,AFN 260,"پرداخت برای مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی , صدرو مجاوز , شهر بخاطری پول حاجی خانی گل الی دفتر",3-Mar-26,503,,,,
"$73,731.5",$252.0,64.85,,"AFN 16,340",پرداخت بل برق خانه چهلستون ,3-Mar-26,504,,,,
"$73,741.7",$10.2,64.85,,AFN 660,"خریداری برنج, تخم مرغ, زردک, نوش پیاز, دلمه و کرم به دفتر",3-Mar-26,505,,,,
"$73,772.5",$30.8,64.9,,"AFN 2,000",پرداخت برای محمد یوسف بابت نصب و تهیه یک عدد پله کلکین pvc به واحد نمبر 4 تعمیر کارته سه للندر 1,4-Mar-26,506,,,,
"$73,782.5",$10.0,64.9,,AFN 650,خریداری ماهی به دفتر,4-Mar-26,507,,,,
"$73,784.7",$2.2,64.9,,AFN 140,خریداری سویا ساس به دفتر,4-Mar-26,508,,,,
"$73,786.1",$1.4,64.9,,AFN 90,خریداری مصاله دانه کنجد به دفتر,4-Mar-26,509,,,,
"$73,789.1",$3.1,64.9,,AFN 200,پرداخت برای انتقال اسلحه از شش درک الی دفتر به دحیم ,4-Mar-26,510,,,,
"$73,792.5",$3.4,64.9,,AFN 220,خریداری گاز و تخم به دفتر,4-Mar-26,511,,,,
"$73,805.6",$13.1,64.9,,AFN 850,"خریداری تخم مرغ, مرچ سیاه, کانفلو, قیماق, آب لیمو, مرچ تازه و ترکاری به دفتر",4-Mar-26,512,,,,
"$73,806.7",$1.1,64.9,,AFN 70,خریداری سمارق و نوش پیاز به دفتر,4-Mar-26,513,,,,
"$73,826.3",$19.6,63.9,,"AFN 1,250",پربرای بریانی نمودن ممپلی به دفتر توسط عبدالرحیم به هدابت حاجی رفیح الله همرا با کرای کراچی و بطری چارجر,5-Mar-26,514,,,,
"$73,849.7",$23.5,63.9,,"AFN 1,500",مصارف کلنیک بخاطری تداوی دندان عزت الله ,5-Mar-26,515,,,,
"$73,873.4",$23.6,63.5,,"AFN 1,500",پرداخت برای انیل ولد عصمت الله بابت هفته اول ماه مارچ ,8-Mar-26,516,,,,
"$73,897.0",$23.6,63.5,,"AFN 1,500",پرداخت برای نوید الله ولد عصمت الله بابت هفته اول ماه مارچ ,8-Mar-26,517,,,,
"$73,975.7",$78.7,63.5,,"AFN 5,000",برداشت عرش الله از دفتر,8-Mar-26,518,,,,
"$73,990.7",$15.0,63.5,,AFN 950,"خریداری کچالو, گشنیز و روغن به  دفتر",8-Mar-26,519,,,,
"$73,996.2",$5.5,63.5,,AFN 350,خریداری گوشت مرغ به دفتر,8-Mar-26,520,,,,
"$74,004.1",$7.9,63.5,,AFN 500,پرداخت برای چاپ تاپه به مطبعه ,8-Mar-26,521,,,,
"$74,007.4",$3.3,63.5,,AFN 210,"خریداری گشنیز, تخم , دلمه و کرم به دفتر",8-Mar-26,522,,,,
"$74,010.5",$3.1,63.5,,AFN 200,"خریداری رومی , آرد, نخود و گشنیز به دفتر",9-Mar-26,523,,,,
"$74,015.1",$4.6,63.5,,AFN 290,"خریداری برنج پلوی , تخم مرغ و رومی به دفتر",9-Mar-26,524,,,,
"$74,140.0",$124.9,63.5,,"AFN 7,930","خریداری میوه خشک از قبیل بادام, کشمش, نخود, توت توسط حاجی عاشق الله به خانه",9-Mar-26,525,,,,
